,Channel Position,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,Febuary 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022
0,1,agreement_sign (430),questionnaire-data-analysis (559),key_announcements (403),eds002 (177),key_announcements (267),random (78),webpage (88),_netherlands (71),key_announcements (73),random (71),collaboration_exchange (587),gccr003_data_analysis (93),gccr003_expl-aim-3-and-4 (230),gccr003_expl-aim-3-and-4 (227),gccr003_data_analysis (48),vaccination (97),gccr005 (145),gccr003_data_analysis (72),phytochemicals (50),key_announcements (18),volunteers_wanted (22),gccr004 (28),chemosensory-comment-analyses-team (22)
1,2,key_announcements (367),_indiaa (500),projectideas (220),key_announcements (116),random (69),project_age-and-smell (62),key_announcements (40),key_announcements (70),random (46),key_announcements (53),smelltastechallengelaunch (148),gccr003_aim1 (74),gccr003_data_analysis (112),random (74),chemosensory-comment-analyses-team (41),chemosensory-comment-analyses-team (71),phytochemicals (59),phytochemicals (69),key_announcements (27),phytochemicals (14),gccr004 (10),gccr003_data_analysis (19),gccr003_data_analysis (11)
2,3,translation_offered (356),dailysummary-see-key_announcements (323),_uk (203),_italy (82),comm_social_media (67),_italy (53),text_mining_team (37),_italy (53),_spanish_speaking_countries (42),gccr003_data_analysis (50),gccr003_data_analysis (130),gccr003_aim3 (64),gccr003_expl5 (111),gccr003_data_analysis (46),gccr003_literature (40),random (35),gccr003_data_analysis (34),gccr005 (44),chemosensory-comment-analyses-team (19),gccrmanylabs001 (13),phytochemicals (10),random (14),random (8)
3,4,covid-19hometest (335),webpage (321),_spanish_speaking_countries (162),random (80),_spanish_speaking_countries (63),newsletter (45),_japan (36),_spanish_speaking_countries (46),basic-science (34),project_recovery (18),random (58),projectideas (61),gccr003_aim3 (106),eds003 (29),gccr003_expl-aim-3-and-4 (38),basic-science (33),project_recovery (34),random (41),random (14),vaccination (10),gccrmanylabs001 (10),basic-science (13),key_announcements (5)
4,5,volunteers_wanted (325),key_announcements (301),_italy (151),communication_volunteers (64),project_recovery (55),webpage (37),_nigeria (25),basic-science (40),gccr003_pre_registration (28),projectideas (14),key_announcements (46),random (56),_spanish_speaking_countries (86),key_announcements (27),random (31),gccr004_literature (32),chemosensory-comment-analyses-team (26),chemosensory-comment-analyses-team (35),gccr003_data_analysis (10),random (10),key_announcements (7),covid-19questionnaire (8),collaboration_exchange (5)
5,6,covid-19-agenda (320),covid-19hometest (285),basic-science (128),project_recovery (63),eds002 (55),key_announcements (30),random (19),_japan (36),projectideas (16),basic-science (12),gccr003_literature (36),gccr003_expl5 (49),random (60),gccr003_aim3 (27),basic-science (21),gccr003_literature (24),nds004-covid19-race-ses (25),vaccination (26),_france (6),chemosensory-comment-analyses-team (6),random (5),chemosensory-comment-analyses-team (8),basic-science (3)
6,7,important_links (271),_netherlands (201),important_links (105),basic-science (60),_africa (31),basic-science (26),_poland (15),_france (28),newsletter (9),gccr003_pre_registration (11),gccr003_aim1 (34),smelltastechallengelaunch (49),eds002 (43),gccr003_epxl1 (23),_russian (14),phytochemicals (20),eds010 (18),nds004-covid19-race-ses (11),_indiaa (5),gccr003_literature (6),covid-19questionnaire (4),key_announcements (5),covid-19questionnaire (1)
7,8,_indiaa (255),_argentina (182),_indiaa (98),webpage (47),_poland (25),_netherlands (22),_italy (13),_spain (19),volunteers_wanted (9),_sweden (9),_netherlands (27),eds002 (41),volunteers_wanted (36),eds010 (22),gccr004_literature (11),projectideas (8),gccr003_expl-aim-3-and-4 (14),project_recovery (11),volunteers_wanted (5),webpage (4),_italy (3),collaboration_exchange (5),-
8,9,covid-19questionnaire (252),_china (161),random (86),project_age-and-smell (42),important_links (24),_africa (19),newsletter (12),project_obesity-and-smell (17),_0_introduce_yourself_here (9),_netherlands (8),gccr003_aim3 (23),gccr003_expl-aim-3-and-4 (31),project_recovery (34),gccr003_expl5 (14),project_recovery (10),volunteers_wanted (7),projectideas (11),collaboration_exchange (7),_0_introduce_yourself_here (4),basic-science (3),gccr005 (2),webpage (1),-
9,10,dailysummary-see-key_announcements (243),_italy (146),press_releases (76),z_slack_admin (38),project_age-and-smell (21),events (14),inclusivity_feedback_forum (11),random (15),project_recovery (7),webpage (7),gccr003_expl5 (23),gccr003_data_cleaning (28),key_announcements (30),gccr004 (13),key_announcements (7),key_announcements (5),vaccination (6),gccr003_expl-aim-3-and-4 (6),_netherlands (3),translation_offered (1),chemosensory-comment-analyses-team (2),_0_introduce_yourself_here (1),-
