,Channel Position,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022
0,1,agreement_sign (430),key_announcements (820),key_announcements (337),key_announcements (196),collaboration_exchange (593),gccr003_expl-aim-3-and-4 (265),gccr005 (189),gccr004 (38),chemosensory-comment-analyses-team (22)
1,2,key_announcements (367),_indiaa (619),random (166),random (132),gccr003_data_analysis (335),random (140),phytochemicals (178),key_announcements (30),gccr003_data_analysis (11)
2,3,translation_offered (356),questionnaire-data-analysis (619),webpage (134),_spanish_speaking_countries (90),gccr003_expl-aim-3-and-4 (261),chemosensory-comment-analyses-team (112),gccr003_data_analysis (116),random (29),random (8)
3,4,covid-19hometest (335),webpage (404),project_age-and-smell (92),basic-science (86),smelltastechallengelaunch (197),vaccination (97),chemosensory-comment-analyses-team (80),phytochemicals (24),key_announcements (5)
4,5,volunteers_wanted (325),_italy (379),_italy (77),_netherlands (85),gccr003_aim3 (193),gccr003_data_analysis (94),random (56),gccrmanylabs001 (23),collaboration_exchange (5)
5,6,covid-19-agenda (320),_uk (359),comm_social_media (75),_italy (58),gccr003_expl5 (183),gccr003_literature (66),project_recovery (47),volunteers_wanted (22),basic-science (3)
6,7,important_links (271),dailysummary-see-key_announcements (324),_spanish_speaking_countries (74),gccr003_data_analysis (50),random (174),basic-science (55),nds004-covid19-race-ses (37),gccr003_data_analysis (20),covid-19questionnaire (1)
7,8,_indiaa (255),covid-19hometest (306),project_recovery (67),projectideas (42),gccr003_aim1 (137),gccr004_literature (43),vaccination (35),basic-science (17),-
8,9,covid-19questionnaire (252),_spanish_speaking_countries (286),eds002 (65),gccr003_pre_registration (39),key_announcements (101),key_announcements (39),key_announcements (34),chemosensory-comment-analyses-team (16),-
9,10,dailysummary-see-key_announcements (243),basic-science (275),newsletter (63),_france (37),_spanish_speaking_countries (98),eds003 (34),gccr003_expl-aim-3-and-4 (20),covid-19questionnaire (12),-
